x1,x2,p,u
4.965957393,1.665774682,1.820213803,-1
-4.830209838,-4.321592983,1.961691734,1
3.29827909,0.735949741,0.515961882,-1
-1.27730332,-2.279949207,1.079217193,1
2.897819055,-3.644247308,1.186059584,0.260126459
0.132505185,-1.497452267,1.061387655,0.857208742
1.052060971,-2.815697319,0.846738078,1
4.186976373,-2.761947012,1.293414245,-0.999999999
4.630498667,-4.405841414,0.523373848,-0.999999887
-2.600875643,1.932351321,1.634714606,0.403670277
-1.576979628,-1.524670562,1.306543513,1
-8.331173843,1.529771899,1.436428175,1
0.37595495,-2.187177494,1.883523897,0.713009371
4.559079159,-0.292666423,0.975051347,-1
-1.161397788,-1.693220067,0.965206391,1
4.789850608,-1.000076238,1.744931455,-1
-2.683347455,-0.5751554,0.694645041,1
1.329752926,0.865980058,1.80404254,-0.958019403
1.709038684,1.807813347,1.144860813,-1
-0.085014178,-1.307807473,0.63495427,1
-1.078581648,1.965331596,1.573004537,-0.36975479
-5.970487804,-3.375176486,1.796662713,1
-1.571971066,1.149524845,0.945910135,0.422432788
4.365200765,-1.339569576,1.866525418,-1
-1.500486106,-2.45330628,1.556267247,1
3.939790799,0.935536867,0.65753909,-1
4.377041208,-3.871761231,1.808492488,-0.358647239
4.446471611,-0.037137661,1.053446457,-1
-5.574366184,-2.528381411,1.619198748,1
-6.02877057,-1.668992214,1.865664817,1
-4.757043926,-0.976202518,0.718751417,1
-6.330124685,0.707934706,1.129343894,1
4.067634947,0.157582621,0.515202924,-1
-4.795992821,1.03603566,0.648380538,1
3.574366811,-2.500005373,1.275348043,-0.79109189
3.483097741,-3.534368813,0.651310635,-0.436045149
2.688647074,-1.551749197,0.757994422,-1
-8.90253923,0.034287377,1.713385071,1
-5.791657326,0.274579829,1.371105783,1
1.399406079,-2.521122853,0.886337943,0.675950063
0.533904449,-1.944365186,1.577264961,0.635280214
0.053873753,-4.50511313,1.571395654,1
-3.095950976,-4.719831099,1.878693254,1
3.307639741,1.272112486,0.587406911,-1
3.215188819,1.71874071,1.765862133,-1
-1.357237074,-2.709893273,1.590794832,1
3.424501574,-0.917911967,1.036582207,-1
2.018702038,-0.646091291,1.26730107,-0.875322362
-0.271800395,0.857000069,1.356286499,-0.294765423
3.096988332,-0.01138599,0.810954867,-1
-9.461298938,1.077297096,1.717013409,1
1.581795611,-3.231682186,0.608516366,1
-3.677535766,0.72077449,1.316717064,1
-3.679117169,-0.159947685,0.510698363,1
2.495579362,1.165624388,0.992559783,-1
4.234758314,-4.619495045,0.62911557,-0.275196454
-2.154559471,1.123812926,1.5102191,0.591500478
-3.966916543,-1.619664183,1.700127144,1
-2.038418068,-0.71162602,0.951119335,1
4.244157631,1.549919538,1.483630596,-1
-2.890231966,-0.293377734,1.72266096,1
-2.386744451,-4.145034536,1.534356976,1
0.859016807,-1.561107159,1.905367979,0.250961494
-1.67133756,-0.686469262,1.199573377,0.999999999
1.307604223,-4.947321154,0.722172834,1
-4.89860384,-2.502097767,1.779896539,1
3.531999285,-2.758613699,1.436887504,-0.553526135
-2.173138679,-1.643126341,1.884158701,1
-5.839796964,1.833698241,1.107224211,1
0.781723627,0.475065141,1.511270119,-0.64065608
-0.3424107,1.358186745,0.845716627,-0.716678666
-6.74956702,1.83998408,0.844685122,1
1.38847516,-2.114716856,1.541853067,0.286188822
-2.922008067,-4.007814515,1.68240137,1
-1.470434045,0.174022666,1.69564273,0.622792618
-0.771278359,-3.46601921,1.500944994,1
-4.90506748,0.632202073,0.987768055,1
-4.330533991,0.659723173,1.346827404,1
1.120142959,-1.106930786,0.840294557,-0.120615958
-3.003554003,0.818394032,1.028276937,1
-3.630691692,1.081761561,1.159214754,1
-4.422896541,-2.150810488,1.553995352,1
-0.94878261,-1.156876543,1.99818845,0.828879184
-0.805075853,-2.01408994,1.34275305,1
4.007890763,-2.526658415,0.978806353,-0.999999998
1.470187373,-2.796772665,0.587221204,0.953828077
-0.406952723,-1.529172554,0.75513733,1
-3.391142023,-4.54056222,1.727685055,1
1.000628605,0.845403684,1.615258653,-0.882728485
0.05309934,-1.834471619,0.677123283,1
4.915554223,-1.472281684,1.652051165,-1
-6.848391284,1.052002832,1.415850648,1
-3.931411088,-0.492299481,1.753885195,1
1.265667622,-1.853496941,1.967794596,0.18791317
0.831179351,1.637728709,1.781513935,-1
-4.452802078,1.636438777,0.66502458,1
-3.774840128,0.049813172,1.687332711,1
-1.569213061,-1.571678635,1.42700004,1
0.265229634,0.909365474,1.644431065,-0.538651804
-2.573304805,-0.218936039,1.935797403,1
3.615567324,-0.418810544,0.944346232,-1
4.674610144,-4.982642401,1.773567763,-0.03348595
-2.432501757,-4.672006808,1.227065619,1
-0.227663791,1.503989197,1.247792357,-0.705436146
-4.709490254,1.378132312,0.962948756,1
2.385859182,0.98647696,1.738189557,-1
-3.100428516,1.262960706,0.688909698,1
0.047532859,-3.393026722,1.014094051,1
0.803068397,-1.23476375,1.474497949,0.176610332
4.624759958,-3.971515958,1.661353456,-0.467779065
-1.217581188,-4.566353657,0.929916067,1
-3.275576092,1.686300911,1.120662441,1
-4.518888316,-3.17587401,1.467685715,1
-1.932534112,0.539690602,0.819437401,1
-3.446090654,-4.16056972,1.931621204,1
3.660539057,-0.392186861,1.790371,-0.999999997
-5.619054086,1.130698526,0.834772651,1
-2.321940131,-2.564443126,0.773210323,1
2.410209478,-1.190828347,0.795202653,-1
-3.895928316,0.487063066,1.987393516,1
-4.369179024,-1.777700723,1.778291482,1
-0.401401337,-2.246565805,1.631405725,1
2.788589673,0.693037883,0.836258028,-1
0.685540864,1.886995664,0.785893185,-1
-0.623638015,1.222429002,0.883874703,-0.372714705
-2.272778311,1.302478051,1.200144219,0.698873554
0.937613938,1.781603097,0.587960075,-1
-1.804835797,0.39359357,1.677792465,0.692087801
-4.471253651,-0.071822977,1.625797479,1
1.385671026,0.390856618,1.353277744,-0.999999891
1.908113183,-3.06734728,1.360653901,0.513680629
-3.228716279,-3.266106282,1.334467405,1
2.233543914,0.598408842,1.836982303,-1
0.47158725,-3.701648553,1.354068791,1
2.260735473,-3.602346429,1.827396735,0.475472389
1.205547045,0.757997831,1.031954123,-1
-0.288205261,0.36247521,1.799924117,-0.021049672
-0.778139101,-3.97766664,1.500731512,1
-1.302820711,0.090679694,1.756220732,0.561709293
2.342777926,-1.989112537,1.920043197,-0.213004417
3.835950927,-1.182613854,1.22577019,-1
